CODUSU;ANO4;TRIMESTRE;NRO_HOGAR;REALIZADA;REGION;MAS_500;AGLOMERADO;PONDERA;IV1;IV1_ESP;IV2;IV3;IV3_ESP;IV4;IV5;IV6;IV7;IV7_ESP;IV8;IV9;IV10;IV11;IV12_1;IV12_2;IV12_3;II1;II2;II3;II3_1;II4_1;II4_2;II4_3;II5;II5_1;II6;II6_1;II7;II7_ESP;II8;II8_ESP;II9;V1;V2;V21;V22;V3;V4;V5;V6;V7;V8;V9;V10;V11;V12;V13;V14;V15;V16;V17;V18;V19_A;V19_B;IX_TOT;IX_MEN10;IX_MAYEQ10;ITF;DECIFR;IDECIFR;RDECIFR;GDECIFR;PDECIFR;ADECIFR;IPCF;DECCFR;IDECCFR;RDECCFR;GDECCFR;PDECCFR;ADECCFR;PONDIH;VII1_1;VII1_2;VII2_1;VII2_2;VII2_3;VII2_4;TIPO_HOGAR
TQRMNOSRTHKLKOCDEIOAH00872073;2024;3;1;1;43;N;38;184;1;;4;1;;1;1;1;1;;1;1;1;1;2;2;2;4;1;1;1;1;1;1;2;0;1;1;1;;1;;1;1;1;1;1;2;2;2;2;2;1;2;2;2;2;2;2;2;2;2;2;2;2;2;0;2;13390000;10;10;10;;10;10;6695000;10;10;10;;10;10;286;2;1;98;0;0;0;Nuclear
TQRMNOSXVHMKKMCDEIOAH00813117;2024;3;1;1;43;N;38;143;2;;2;1;;1;1;1;1;;1;1;1;1;2;2;2;2;1;2;0;1;2;1;2;0;2;0;1;;1;;1;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;1;2;2;2;2;2;0;2;2300000;9;10;10;;10;10;1150000;10;10;10;;10;10;214;1;0;98;0;0;0;Nuclear
TQRMNOQVVHMMKPCDEIOAH00813124;2024;3;2;1;43;N;38;139;1;;4;1;;1;1;1;1;;1;1;1;1;2;2;2;4;3;2;0;1;1;2;2;0;2;0;3;;1;;1;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;3;1;2;800000;5;5;5;;6;6;266666,67;4;4;4;;5;4;190;1;2;98;0;0;0;Nuclear
TQRMNOUUXHKKKPCDEIOAH00872074;2024;3;1;1;43;N;38;150;2;;2;1;;9;2;1;1;;1;1;1;1;2;2;2;2;1;2;0;1;2;1;2;0;2;0;3;;1;;1;1;2;2;2;2;2;2;2;2;2;2;2;2;2;1;2;2;2;2;2;2;2;1;0;1;1500000;8;8;8;;8;9;1500000;10;10;10;;10;10;152;1;0;98;0;0;0;Unipersonal
TQRMNOQYVHJMKRCDEIOAH00865640;2024;3;1;1;43;N;38;135;2;;1;1;;2;1;1;1;;1;1;1;1;2;2;2;1;1;2;0;2;2;2;0;0;0;0;3;;1;;1;1;1;2;2;2;2;2;2;2;2;2;2;2;2;1;2;2;1;2;2;2;2;2;0;2;298000;1;1;1;;2;1;149000;2;2;2;;2;2;127;1;0;98;0;0;0;Nuclear
TQRMNOQSSHMMKQCDEIOAH00813105;2024;3;1;1;43;N;38;152;1;;3;1;;2;1;1;1;;1;1;1;1;2;2;2;3;2;2;0;1;1;1;2;0;2;0;1;;1;;1;1;1;2;1;2;2;2;2;2;2;2;2;2;2;2;1;2;1;2;2;2;2;2;0;2;660000;4;4;4;;4;4;330000;5;5;5;;6;5;209;1;0;98;0;0;0;Nuclear
TQRMNOSVRHMMKRCDEIOAH00813106;2024;3;1;1;43;N;38;102;1;;2;2;;5;1;1;1;;1;1;1;1;2;2;2;2;2;2;0;1;2;2;2;0;2;0;1;;1;;1;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;4;0;4;0;12;12;12;;12;12;0;12;12;12;;12;12;0;1;0;3;4;5;0;Nuclear
TQRMNORWTHLOLLCDEIOAH00808283;2024;3;1;1;43;N;38;123;1;;3;1;;4;1;1;1;;1;1;1;1;2;2;2;3;3;2;0;1;1;1;2;0;2;0;1;;1;;1;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;4;0;4;0;12;12;12;;12;12;0;12;12;12;;12;12;0;2;0;98;0;0;0;Nuclear
TQRMNOUXVHLOKTCDEHIBB00805834;2024;3;1;1;40;N;22;131;1;;2;1;;1;1;1;1;;1;1;1;1;2;2;2;2;2;2;0;1;2;2;2;0;2;0;1;;2;;1;2;2;2;2;2;2;1;2;1;2;2;2;2;1;2;2;1;1;1;2;2;2;3;1;2;261000;1;1;1;;1;1;87000;1;1;1;;1;1;129;1;0;98;0;0;0;Nuclear
TQRMNOQYYHKLKUCDEHIBB00872075;2024;3;1;1;40;N;22;119;1;;3;1;;5;1;1;1;;1;1;1;1;2;2;2;3;1;2;0;1;2;2;2;0;2;0;1;;2;;1;2;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;1;2;2;2;2;1;0;1;400000;2;2;2;;2;3;400000;6;6;8;;7;8;128;1;0;98;0;0;0;Unipersonal
