CODUSU;ANO4;TRIMESTRE;NRO_HOGAR;REALIZADA;REGION;MAS_500;AGLOMERADO;PONDERA;IV1;IV1_ESP;IV2;IV3;IV3_ESP;IV4;IV5;IV6;IV7;IV7_ESP;IV8;IV9;IV10;IV11;IV12_1;IV12_2;IV12_3;II1;II2;II3;II3_1;II4_1;II4_2;II4_3;II5;II5_1;II6;II6_1;II7;II7_ESP;II8;II8_ESP;II9;V1;V2;V21;V22;V3;V4;V5;V6;V7;V8;V9;V10;V11;V12;V13;V14;V15;V16;V17;V18;V19_A;V19_B;IX_TOT;IX_MEN10;IX_MAYEQ10;ITF;DECIFR;IDECIFR;RDECIFR;GDECIFR;PDECIFR;ADECIFR;IPCF;DECCFR;IDECCFR;RDECCFR;GDECCFR;PDECCFR;ADECCFR;PONDIH;VII1_1;VII1_2;VII2_1;VII2_2;VII2_3;VII2_4;DENSIDAD_HOGAR
TQRMNOQWSHKNKPCDEHMHF00858696;2024;1;1;1;42;N;26;121;1;;3;1;;1;1;1;1;;1;1;1;1;2;2;2;3;1;2;0;1;1;2;2;0;2;0;3;;1;;1;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;1;0;1;0;12;12;12;;12;12;0;12;12;12;;12;12;0;1;0;98;0;0;0;BAJO
TQRMNOSVRHKNKPCDEHMHF00858697;2024;1;1;1;42;N;26;130;1;;3;1;;1;1;1;1;;1;1;1;1;2;2;2;3;2;2;0;1;1;1;2;0;2;0;1;;1;;1;2;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;0;2;400000;4;4;4;;5;4;200000;6;6;6;;6;6;141;1;2;98;0;0;0;BAJO
TQRMNOSPXHJNKPCDEHMHF00793166;2024;1;1;1;42;N;26;132;1;;5;1;;1;1;1;1;;1;1;1;1;2;2;2;5;3;2;0;1;2;1;2;0;2;0;1;;1;;1;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;0;2;900000;8;9;9;;9;9;450000;9;9;9;;9;9;145;1;2;98;0;0;0;BAJO
TQRMNORSVHJLKRCDEHMHF00793742;2024;1;1;1;42;N;26;131;1;;3;1;;1;1;1;1;;1;1;1;1;2;2;2;3;1;2;0;1;2;1;2;0;2;0;1;;1;;1;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;1;1;2;2;2;2;2;0;2;1500000;10;10;10;;10;10;750000;10;10;10;;10;10;157;1;2;98;0;0;0;BAJO
TQRMNORSXHJLKRCDEHMHF00793408;2024;1;1;1;42;N;26;179;1;;4;1;;1;1;1;1;;1;1;1;1;2;2;2;4;3;2;0;1;1;2;2;0;2;0;1;;1;;1;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;4;0;4;0;12;12;12;;12;12;0;12;12;12;;12;12;0;1;2;98;0;0;0;MEDIO
TQRMNORXXHKKKTCDEHMHF00858698;2024;1;1;1;42;N;26;452;1;;3;1;;1;1;1;1;;1;1;1;1;2;2;2;3;2;2;0;2;2;2;0;0;0;0;1;;1;;1;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;1;2;2;2;2;4;1;3;530000;6;6;6;;6;6;132500;4;4;4;;4;3;495;2;3;98;0;0;0;MEDIO
TQRMNORYPHKKKTCDEHMHF00858699;2024;1;1;1;42;N;26;301;1;;3;1;;1;1;1;1;;1;1;1;1;2;2;2;3;2;2;0;1;1;1;2;0;2;0;1;;1;;1;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;5;2;3;700000;7;8;7;;8;7;140000;4;4;4;;4;3;306;1;0;98;0;0;0;MEDIO
TQRMNOPXTHKNLLCDEGOIH00858700;2024;1;1;1;40;N;18;225;1;;4;1;;1;1;1;1;;1;1;1;2;2;2;2;4;2;2;0;1;2;2;2;0;2;0;1;;2;;1;2;1;1;1;2;2;2;2;2;2;2;2;1;2;2;2;1;1;2;2;2;2;3;0;3;421000;5;5;5;;5;6;140333,33;4;4;5;;4;6;223;2;0;3;0;0;0;BAJO
TQRMNOPXUHKNLLCDEGOIH00858701;2024;1;1;1;40;N;18;208;1;;4;1;;1;1;1;1;;1;1;1;2;2;2;2;4;3;2;0;1;1;1;2;0;2;0;1;;2;;1;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;5;0;5;350000;4;4;4;;4;5;70000;2;2;2;;2;2;209;2;0;98;0;0;0;MEDIO
TQRMNOPVPHMOKPCDEGOIH00800297;2024;1;1;1;40;N;18;197;1;;5;1;;1;1;1;1;;1;1;1;3;2;2;2;5;4;2;0;1;2;2;2;0;2;0;1;;2;;1;1;1;1;2;2;2;2;2;2;2;2;2;2;2;2;2;1;1;2;2;2;2;3;0;3;437000;5;5;5;;5;7;145666,67;4;4;5;;4;6;198;3;0;1;0;0;0;BAJO
